"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
695,"2013-06-01 00:00:01","2013-06-01 00:11:36",444,"Broadway & W 24 St",40.7423543,-73.98915076,434,"9 Ave & W 18 St",40.74317449,-74.00366443,19678,"Subscriber",1983,1
693,"2013-06-01 00:00:08","2013-06-01 00:11:41",444,"Broadway & W 24 St",40.7423543,-73.98915076,434,"9 Ave & W 18 St",40.74317449,-74.00366443,16649,"Subscriber",1984,1
